"Start Date","End Date","Area","Pollster","Client","Party","Voting Intention"
"2024-06-26","2024-06-27","Great Britain","Whitestone Insight","Daily Express","Reform UK","21"
"2024-06-25","2024-06-27","Great Britain","YouGov","NA","Conservative","20"
"2024-06-26","2024-06-27","Great Britain","Redfield &amp; Wilton","NA","Conservative","19"
"2024-06-26","2024-06-27","Great Britain","Techne","NA","Conservative","19"
"2024-06-26","2024-06-27","Great Britain","Redfield &amp; Wilton","NA","Reform UK","18"
"2024-06-26","2024-06-27","Great Britain","Whitestone Insight","Daily Express","Conservative","18"
"2024-06-25","2024-06-27","Great Britain","YouGov","NA","Reform UK","17"
"2024-06-26","2024-06-27","Great Britain","Techne","NA","Reform UK","17"
"2024-06-25","2024-06-27","Great Britain","YouGov","NA","Liberal Democrats","13"
"2024-06-26","2024-06-27","Great Britain","Techne","NA","Liberal Democrats","12"
"2024-06-15","2024-06-27","Great Britain","Survation","NA","Liberal Democrats","11"
"2024-06-15","2024-06-27","Great Britain","Survation","NA","Reform UK","11"
"2024-06-26","2024-06-27","Great Britain","Redfield &amp; Wilton","NA","Liberal Democrats","11"
"2024-06-26","2024-06-27","Scotland","Redfield &amp; Wilton","NA","Conservative","11"
"2024-06-26","2024-06-27","Great Britain","Whitestone Insight","Daily Express","Liberal Democrats","11"
"2024-06-26","2024-06-27","Scotland","Redfield &amp; Wilton","NA","Reform UK","8"
"2024-06-25","2024-06-27","Great Britain","YouGov","NA","Green Party","7"
"2024-06-26","2024-06-27","Scotland","Redfield &amp; Wilton","NA","Liberal Democrats","7"
"2024-06-26","2024-06-27","Great Britain","Whitestone Insight","Daily Express","Green Party","7"
"2024-06-15","2024-06-27","Great Britain","Survation","NA","Green Party","5"
"2024-06-26","2024-06-27","Great Britain","Redfield &amp; Wilton","NA","Green Party","5"
"2024-06-26","2024-06-27","Great Britain","Techne","NA","Green Party","5"
"2024-06-25","2024-06-27","Great Britain","YouGov","NA","SNP","3"
"2024-06-26","2024-06-27","Great Britain","Redfield &amp; Wilton","NA","SNP","3"
"2024-06-26","2024-06-27","Scotland","Redfield &amp; Wilton","NA","Green Party","3"
"2024-06-26","2024-06-27","Great Britain","Techne","NA","SNP","3"
"2024-06-15","2024-06-27","Great Britain","Survation","NA","SNP","2"
"2024-06-26","2024-06-27","Great Britain","Whitestone Insight","Daily Express","SNP","2"
"2024-06-15","2024-06-27","Great Britain","Survation","NA","Plaid Cymru","1"
"2024-06-25","2024-06-27","Great Britain","YouGov","NA","Plaid Cymru","1"
"2024-06-26","2024-06-27","Great Britain","Whitestone Insight","Daily Express","Plaid Cymru","1"
"2024-06-26","2024-06-27","Great Britain","Redfield &amp; Wilton","NA","Plaid Cymru","0"
"2024-06-24","2024-06-26","Great Britain","BMG","i","Labour","42"
"2024-06-24","2024-06-26","Great Britain","Deltapoll","National","Labour","42"
"2024-06-24","2024-06-26","Great Britain","More in Common","News Agents","Labour","40"
"2024-06-25","2024-06-26","Great Britain","PeoplePolling","GB News","Labour","40"
"2024-06-24","2024-06-26","Great Britain","Norstat","NA","Labour","39"
"2024-06-24","2024-06-26","Scotland","Norstat","Sunday Times","Labour","35"
"2024-06-24","2024-06-26","Scotland","Norstat","Sunday Times","SNP","31"
"2024-06-24","2024-06-26","Great Britain","More in Common","News Agents","Conservative","23"
"2024-06-24","2024-06-26","Great Britain","Norstat","NA","Conservative","23"
"2024-06-25","2024-06-26","Great Britain","PeoplePolling","GB News","Reform UK","21"
"2024-06-24","2024-06-26","Great Britain","BMG","i","Conservative","20"
"2024-06-24","2024-06-26","Great Britain","Deltapoll","National","Conservative","20"
"2024-06-24","2024-06-26","Great Britain","Deltapoll","National","Reform UK","17"
"2024-06-24","2024-06-26","Great Britain","BMG","i","Reform UK","16"
"2024-06-24","2024-06-26","Great Britain","Norstat","NA","Reform UK","15"
"2024-06-25","2024-06-26","Great Britain","PeoplePolling","GB News","Conservative","15"
"2024-06-24","2024-06-26","Great Britain","More in Common","News Agents","Reform UK","14"
"2024-06-24","2024-06-26","Scotland","Norstat","Sunday Times","Conservative","13"
"2024-06-24","2024-06-26","Great Britain","BMG","i","Liberal Democrats","12"
"2024-06-24","2024-06-26","Great Britain","Norstat","NA","Liberal Democrats","12"
"2024-06-24","2024-06-26","Great Britain","Deltapoll","National","Liberal Democrats","11"
"2024-06-24","2024-06-26","Great Britain","More in Common","News Agents","Liberal Democrats","11"
"2024-06-25","2024-06-26","Great Britain","PeoplePolling","GB News","Green Party","9"
"2024-06-25","2024-06-26","Great Britain","PeoplePolling","GB News","Liberal Democrats","9"
"2024-06-24","2024-06-26","Scotland","Norstat","Sunday Times","Liberal Democrats","8"
"2024-06-24","2024-06-26","Scotland","Norstat","Sunday Times","Reform UK","8"
"2024-06-24","2024-06-26","Great Britain","BMG","i","Green Party","6"
"2024-06-24","2024-06-26","Great Britain","Norstat","NA","Green Party","6"
"2024-06-24","2024-06-26","Great Britain","More in Common","News Agents","Green Party","5"
"2024-06-24","2024-06-26","Great Britain","Deltapoll","National","Green Party","4"
"2024-06-24","2024-06-26","Great Britain","Norstat","NA","SNP","4"
"2024-06-24","2024-06-26","Great Britain","BMG","i","SNP","3"
"2024-06-24","2024-06-26","Great Britain","Deltapoll","National","SNP","3"
"2024-06-24","2024-06-26","Great Britain","More in Common","News Agents","SNP","3"
"2024-06-24","2024-06-26","Scotland","Norstat","Sunday Times","Green Party","3"
"2024-06-25","2024-06-26","Great Britain","PeoplePolling","GB News","SNP","2"
"2024-06-24","2024-06-26","Great Britain","Norstat","NA","Plaid Cymru","1"
"2024-06-24","2024-06-26","Great Britain","Deltapoll","National","Plaid Cymru","0"
"2024-06-24","2024-06-26","Great Britain","More in Common","News Agents","Plaid Cymru","0"
"2024-06-25","2024-06-26","Great Britain","PeoplePolling","GB News","Plaid Cymru","0"
"2024-06-21","2024-06-25","Great Britain","Survation","Good Morning Britain","Labour","41"
"2024-06-21","2024-06-25","United Kingdom","Survation","Good Morning Britain","Labour","41"
"2024-06-21","2024-06-25","Scotland","Survation","Ballot Box Scotland","Labour","37"
"2024-06-24","2024-06-25","Great Britain","YouGov","NA","Labour","36"
"2024-06-20","2024-06-25","Scotland","YouGov","Sky News","Labour","35"
"2024-06-21","2024-06-25","Scotland","Savanta ComRes","Scotsman","Labour","34"
"2024-06-21","2024-06-25","Scotland","Savanta ComRes","Scotsman","SNP","34"
"2024-06-21","2024-06-25","Scotland","Survation","Ballot Box Scotland","SNP","31"
"2024-06-20","2024-06-25","Scotland","YouGov","Sky News","SNP","29"
"2024-06-24","2024-06-25","Northern Ireland","Lucid Talk","Belfast Telegraph","Sinn Féin","23"
"2024-06-24","2024-06-25","Northern Ireland","Lucid Talk","Belfast Telegraph","DUP","21"
"2024-06-21","2024-06-25","Great Britain","Survation","Good Morning Britain","Conservative","18"
"2024-06-21","2024-06-25","United Kingdom","Survation","Good Morning Britain","Conservative","18"
"2024-06-24","2024-06-25","Northern Ireland","Lucid Talk","Belfast Telegraph","Alliance","18"
"2024-06-24","2024-06-25","Great Britain","YouGov","NA","Conservative","18"
"2024-06-24","2024-06-25","Great Britain","YouGov","NA","Reform UK","17"
"2024-06-24","2024-06-25","Great Britain","YouGov","NA","Liberal Democrats","15"
"2024-06-21","2024-06-25","Scotland","Savanta ComRes","Scotsman","Conservative","14"
"2024-06-21","2024-06-25","Scotland","Survation","Ballot Box Scotland","Conservative","14"
"2024-06-21","2024-06-25","Great Britain","Survation","Good Morning Britain","Reform UK","14"
"2024-06-21","2024-06-25","United Kingdom","Survation","Good Morning Britain","Reform UK","14"
"2024-06-24","2024-06-25","Northern Ireland","Lucid Talk","Belfast Telegraph","SDLP","14"
"2024-06-24","2024-06-25","Northern Ireland","Lucid Talk","Belfast Telegraph","Ulster Unionist Party","13"
"2024-06-21","2024-06-25","Great Britain","Survation","Good Morning Britain","Liberal Democrats","12"
"2024-06-21","2024-06-25","United Kingdom","Survation","Good Morning Britain","Liberal Democrats","12"
"2024-06-20","2024-06-25","Scotland","YouGov","Sky News","Conservative","11"
"2024-06-20","2024-06-25","Scotland","YouGov","Sky News","Liberal Democrats","11"
"2024-06-20","2024-06-25","Scotland","YouGov","Sky News","Reform UK","8"
"2024-06-21","2024-06-25","Scotland","Survation","Ballot Box Scotland","Reform UK","8"
"2024-06-24","2024-06-25","Great Britain","YouGov","NA","Green Party","8"
"2024-06-21","2024-06-25","Scotland","Savanta ComRes","Scotsman","Liberal Democrats","7"
"2024-06-21","2024-06-25","Scotland","Survation","Ballot Box Scotland","Liberal Democrats","7"
"2024-06-20","2024-06-25","Scotland","YouGov","Sky News","Green Party","5"
"2024-06-21","2024-06-25","Great Britain","Survation","Good Morning Britain","Green Party","5"
"2024-06-21","2024-06-25","United Kingdom","Survation","Good Morning Britain","Green Party","5"
"2024-06-24","2024-06-25","Northern Ireland","Lucid Talk","Belfast Telegraph","Traditional Unionist Voice – TUV","4"
"2024-06-21","2024-06-25","Scotland","Survation","Ballot Box Scotland","Green Party","3"
"2024-06-24","2024-06-25","Great Britain","YouGov","NA","SNP","3"
"2024-06-21","2024-06-25","Great Britain","Survation","Good Morning Britain","SNP","2"
"2024-06-21","2024-06-25","United Kingdom","Survation","Good Morning Britain","SNP","2"
"2024-06-24","2024-06-25","Great Britain","YouGov","NA","Plaid Cymru","1"
"2024-06-21","2024-06-25","Great Britain","Survation","Good Morning Britain","Plaid Cymru","0"
"2024-06-21","2024-06-25","United Kingdom","Survation","Good Morning Britain","Plaid Cymru","0"
"2024-06-21","2024-06-24","Great Britain","Deltapoll","NA","Labour","43"
"2024-05-30","2024-06-24","Great Britain","Omnisis","NA","Labour","42"
"2024-06-21","2024-06-24","Great Britain","Ipsos-MORI","NA","Labour","42"
"2024-06-21","2024-06-24","Great Britain","Redfield &amp; Wilton","NA","Labour","42"
"2024-06-21","2024-06-24","Great Britain","Savanta ComRes","Telegraph","Labour","42"
"2024-06-21","2024-06-24","United Kingdom","Savanta ComRes","Telegraph","Labour","42"
"2024-06-21","2024-06-24","Great Britain","JL Partners","Rest is Politics","Labour","41"
"2024-06-14","2024-06-24","Great Britain","FindOutNow","Daily Mirror","Labour","40"
"2024-06-21","2024-06-24","Great Britain","Verian","NA","Labour","38"
"2024-06-21","2024-06-24","Great Britain","JL Partners","Rest is Politics","Conservative","25"
"2024-05-30","2024-06-24","Great Britain","Omnisis","NA","Conservative","22"
"2024-06-21","2024-06-24","Great Britain","Savanta ComRes","Telegraph","Conservative","21"
"2024-06-21","2024-06-24","United Kingdom","Savanta ComRes","Telegraph","Conservative","21"
"2024-06-21","2024-06-24","Great Britain","Verian","NA","Conservative","21"
"2024-06-21","2024-06-24","Great Britain","Deltapoll","NA","Conservative","19"
"2024-06-21","2024-06-24","Great Britain","Ipsos-MORI","NA","Conservative","19"
"2024-06-21","2024-06-24","Great Britain","Redfield &amp; Wilton","NA","Reform UK","19"
"2024-06-21","2024-06-24","Great Britain","Redfield &amp; Wilton","NA","Conservative","18"
"2024-06-14","2024-06-24","Great Britain","FindOutNow","Daily Mirror","Reform UK","17"
"2024-06-21","2024-06-24","Great Britain","Verian","NA","Reform UK","16"
"2024-06-14","2024-06-24","Great Britain","FindOutNow","Daily Mirror","Conservative","15"
"2024-06-21","2024-06-24","Great Britain","Deltapoll","NA","Reform UK","15"
"2024-06-21","2024-06-24","Great Britain","Ipsos-MORI","NA","Reform UK","15"
"2024-06-21","2024-06-24","Great Britain","JL Partners","Rest is Politics","Reform UK","15"
"2024-05-30","2024-06-24","Great Britain","Omnisis","NA","Reform UK","14"
"2024-06-14","2024-06-24","Great Britain","FindOutNow","Daily Mirror","Liberal Democrats","14"
"2024-06-21","2024-06-24","Great Britain","Savanta ComRes","Telegraph","Reform UK","14"
"2024-06-21","2024-06-24","United Kingdom","Savanta ComRes","Telegraph","Reform UK","14"
"2024-06-21","2024-06-24","Great Britain","Deltapoll","NA","Liberal Democrats","13"
"2024-06-21","2024-06-24","Great Britain","Redfield &amp; Wilton","NA","Liberal Democrats","12"
"2024-06-21","2024-06-24","Great Britain","Verian","NA","Liberal Democrats","12"
"2024-05-30","2024-06-24","Great Britain","Omnisis","NA","Liberal Democrats","11"
"2024-06-21","2024-06-24","Great Britain","Ipsos-MORI","NA","Liberal Democrats","11"
"2024-06-21","2024-06-24","Great Britain","JL Partners","Rest is Politics","Liberal Democrats","11"
"2024-06-21","2024-06-24","Great Britain","Savanta ComRes","Telegraph","Liberal Democrats","10"
"2024-06-21","2024-06-24","United Kingdom","Savanta ComRes","Telegraph","Liberal Democrats","10"
"2024-06-21","2024-06-24","Great Britain","Verian","NA","Green Party","8"
"2024-06-14","2024-06-24","Great Britain","FindOutNow","Daily Mirror","Green Party","7"
"2024-06-21","2024-06-24","Great Britain","Ipsos-MORI","NA","Green Party","7"
"2024-05-30","2024-06-24","Great Britain","Omnisis","NA","Green Party","6"
"2024-06-21","2024-06-24","Great Britain","Redfield &amp; Wilton","NA","Green Party","6"
"2024-06-21","2024-06-24","Great Britain","Deltapoll","NA","Green Party","5"
"2024-06-21","2024-06-24","Great Britain","Ipsos-MORI","NA","SNP","5"
"2024-06-21","2024-06-24","Great Britain","JL Partners","Rest is Politics","Green Party","5"
"2024-06-21","2024-06-24","Great Britain","Savanta ComRes","Telegraph","Green Party","5"
"2024-06-21","2024-06-24","United Kingdom","Savanta ComRes","Telegraph","Green Party","5"
"2024-05-30","2024-06-24","Great Britain","Omnisis","NA","SNP","3"
"2024-06-14","2024-06-24","Great Britain","FindOutNow","Daily Mirror","SNP","3"
"2024-06-21","2024-06-24","Great Britain","JL Partners","Rest is Politics","SNP","3"
"2024-06-21","2024-06-24","Great Britain","Redfield &amp; Wilton","NA","SNP","3"
"2024-06-21","2024-06-24","Great Britain","Savanta ComRes","Telegraph","SNP","3"
"2024-06-21","2024-06-24","United Kingdom","Savanta ComRes","Telegraph","SNP","3"
"2024-06-21","2024-06-24","Great Britain","Verian","NA","SNP","3"
"2024-06-21","2024-06-24","Great Britain","Deltapoll","NA","SNP","2"
"2024-05-30","2024-06-24","Great Britain","Omnisis","NA","Plaid Cymru","1"
"2024-06-14","2024-06-24","Great Britain","FindOutNow","Daily Mirror","Plaid Cymru","1"
"2024-06-21","2024-06-24","Great Britain","Verian","NA","Plaid Cymru","1"
"2024-06-21","2024-06-24","Great Britain","JL Partners","Rest is Politics","Plaid Cymru","0"
"2024-06-21","2024-06-24","Great Britain","Redfield &amp; Wilton","NA","Plaid Cymru","0"
"2024-06-21","2024-06-23","Great Britain","More in Common","NA","Labour","41"
"2024-06-21","2024-06-23","Great Britain","More in Common","NA","Conservative","25"
"2024-06-21","2024-06-23","Great Britain","More in Common","NA","Reform UK","15"
"2024-06-21","2024-06-23","Great Britain","More in Common","NA","Liberal Democrats","10"
"2024-06-21","2024-06-23","Great Britain","More in Common","NA","Green Party","5"
"2024-06-21","2024-06-23","Great Britain","More in Common","NA","SNP","2"
"2024-06-21","2024-06-23","Great Britain","More in Common","NA","Plaid Cymru","0"
"2024-06-20","2024-06-21","Great Britain","Omnisis","NA","Labour","43"
"2024-06-19","2024-06-21","Great Britain","Savanta ComRes","Telegraph","Labour","42"
"2024-06-19","2024-06-21","United Kingdom","Savanta ComRes","Telegraph","Labour","42"
"2024-06-19","2024-06-21","Great Britain","Opinium","Observer","Labour","40"
"2024-06-20","2024-06-21","Great Britain","Omnisis","NA","Conservative","22"
"2024-06-19","2024-06-21","Great Britain","Opinium","Observer","Conservative","20"
"2024-06-19","2024-06-21","Great Britain","Savanta ComRes","Telegraph","Conservative","19"
"2024-06-19","2024-06-21","United Kingdom","Savanta ComRes","Telegraph","Conservative","19"
"2024-06-19","2024-06-21","Great Britain","Opinium","Observer","Reform UK","16"
"2024-06-19","2024-06-21","Great Britain","Savanta ComRes","Telegraph","Reform UK","16"
"2024-06-19","2024-06-21","United Kingdom","Savanta ComRes","Telegraph","Reform UK","16"
"2024-06-20","2024-06-21","Great Britain","Omnisis","NA","Reform UK","13"
"2024-06-19","2024-06-21","Great Britain","Opinium","Observer","Liberal Democrats","12"
"2024-06-19","2024-06-21","Great Britain","Opinium","Observer","Green Party","9"
"2024-06-19","2024-06-21","Great Britain","Savanta ComRes","Telegraph","Liberal Democrats","9"
"2024-06-19","2024-06-21","United Kingdom","Savanta ComRes","Telegraph","Liberal Democrats","9"
"2024-06-20","2024-06-21","Great Britain","Omnisis","NA","Liberal Democrats","8"
"2024-06-20","2024-06-21","Great Britain","Omnisis","NA","Green Party","7"
"2024-06-19","2024-06-21","Great Britain","Savanta ComRes","Telegraph","Green Party","5"
"2024-06-19","2024-06-21","United Kingdom","Savanta ComRes","Telegraph","Green Party","5"
"2024-06-19","2024-06-21","Great Britain","Opinium","Observer","SNP","3"
"2024-06-19","2024-06-21","Great Britain","Savanta ComRes","Telegraph","SNP","3"
"2024-06-19","2024-06-21","United Kingdom","Savanta ComRes","Telegraph","SNP","3"
"2024-06-20","2024-06-21","Great Britain","Omnisis","NA","SNP","3"
"2024-06-19","2024-06-21","Great Britain","Opinium","Observer","Plaid Cymru","1"
"2024-06-20","2024-06-21","Great Britain","Omnisis","NA","Plaid Cymru","1"
"2024-06-19","2024-06-20","Wales","Redfield &amp; Wilton","NA","Labour","46"
"2024-06-19","2024-06-20","Great Britain","Redfield &amp; Wilton","NA","Labour","42"
"2024-06-19","2024-06-20","Great Britain","Techne","NA","Labour","42"
"2024-06-04","2024-06-20","Great Britain","Focaldata","NA","Labour","41"
"2024-06-19","2024-06-20","Great Britain","Whitestone Insight","Daily Express","Labour","39"
"2024-06-19","2024-06-20","Great Britain","YouGov","Times","Labour","37"
"2024-06-04","2024-06-20","Great Britain","Focaldata","NA","Conservative","23"
"2024-06-19","2024-06-20","Great Britain","Whitestone Insight","Daily Express","Reform UK","20"
"2024-06-19","2024-06-20","Great Britain","Redfield &amp; Wilton","NA","Reform UK","19"
"2024-06-19","2024-06-20","Great Britain","Techne","NA","Conservative","19"
"2024-06-19","2024-06-20","Great Britain","Whitestone Insight","Daily Express","Conservative","19"
"2024-06-19","2024-06-20","Great Britain","YouGov","Times","Conservative","19"
"2024-06-19","2024-06-20","Great Britain","Redfield &amp; Wilton","NA","Conservative","18"
"2024-06-19","2024-06-20","Great Britain","YouGov","Times","Reform UK","18"
"2024-06-19","2024-06-20","Wales","Redfield &amp; Wilton","NA","Reform UK","17"
"2024-06-19","2024-06-20","Great Britain","Techne","NA","Reform UK","17"
"2024-06-04","2024-06-20","Great Britain","Focaldata","NA","Reform UK","16"
"2024-06-19","2024-06-20","Wales","Redfield &amp; Wilton","NA","Conservative","15"
"2024-06-19","2024-06-20","Great Britain","YouGov","Times","Liberal Democrats","13"
"2024-06-19","2024-06-20","Great Britain","Techne","NA","Liberal Democrats","12"
"2024-06-19","2024-06-20","Great Britain","Whitestone Insight","Daily Express","Liberal Democrats","12"
"2024-06-04","2024-06-20","Great Britain","Focaldata","NA","Liberal Democrats","11"
"2024-06-19","2024-06-20","Great Britain","Redfield &amp; Wilton","NA","Liberal Democrats","11"
"2024-06-19","2024-06-20","Wales","Redfield &amp; Wilton","NA","Plaid Cymru","10"
"2024-06-19","2024-06-20","Wales","Redfield &amp; Wilton","NA","Liberal Democrats","7"
"2024-06-19","2024-06-20","Great Britain","Whitestone Insight","Daily Express","Green Party","6"
"2024-06-19","2024-06-20","Great Britain","YouGov","Times","Green Party","6"
"2024-06-04","2024-06-20","Great Britain","Focaldata","NA","Green Party","5"
"2024-06-19","2024-06-20","Great Britain","Redfield &amp; Wilton","NA","Green Party","5"
"2024-06-19","2024-06-20","Great Britain","Techne","NA","Green Party","5"
"2024-06-19","2024-06-20","Wales","Redfield &amp; Wilton","NA","Green Party","4"
"2024-06-04","2024-06-20","Great Britain","Focaldata","NA","SNP","3"
"2024-06-19","2024-06-20","Great Britain","Redfield &amp; Wilton","NA","SNP","3"
"2024-06-19","2024-06-20","Great Britain","Whitestone Insight","Daily Express","SNP","3"
"2024-06-19","2024-06-20","Great Britain","YouGov","Times","SNP","3"
"2024-06-19","2024-06-20","Great Britain","Techne","NA","SNP","2"
"2024-06-19","2024-06-20","Great Britain","YouGov","Times","Plaid Cymru","1"
"2024-06-19","2024-06-20","Great Britain","Redfield &amp; Wilton","NA","Plaid Cymru","0"
"2024-06-19","2024-06-20","Great Britain","Whitestone Insight","Daily Express","Plaid Cymru","0"
"2024-06-18","2024-06-19","Great Britain","BMG","i","Labour","42"
"2024-06-17","2024-06-19","Great Britain","Norstat","NA","Labour","40"
"2024-06-17","2024-06-19","Great Britain","More in Common","NA","Labour","39"
"2024-06-17","2024-06-19","Great Britain","More in Common","NA","Conservative","25"
"2024-06-17","2024-06-19","Great Britain","Norstat","NA","Conservative","20"
"2024-06-17","2024-06-19","Great Britain","Norstat","NA","Reform UK","19"
"2024-06-18","2024-06-19","Great Britain","BMG","i","Conservative","19"
"2024-06-18","2024-06-19","Great Britain","BMG","i","Reform UK","19"
"2024-06-17","2024-06-19","Great Britain","More in Common","NA","Reform UK","14"
"2024-06-17","2024-06-19","Great Britain","Norstat","NA","Liberal Democrats","12"
"2024-06-17","2024-06-19","Great Britain","More in Common","NA","Liberal Democrats","11"
"2024-06-18","2024-06-19","Great Britain","BMG","i","Liberal Democrats","9"
"2024-06-18","2024-06-19","Great Britain","BMG","i","Green Party","7"
"2024-06-17","2024-06-19","Great Britain","More in Common","NA","Green Party","5"
"2024-06-17","2024-06-19","Great Britain","Norstat","NA","Green Party","5"
"2024-06-17","2024-06-19","Great Britain","More in Common","NA","SNP","3"
"2024-06-17","2024-06-19","Great Britain","Norstat","NA","SNP","3"
"2024-06-18","2024-06-19","Great Britain","BMG","i","SNP","3"
"2024-06-17","2024-06-19","Great Britain","Norstat","NA","Plaid Cymru","1"
"2024-06-17","2024-06-19","Great Britain","More in Common","NA","Plaid Cymru","0"
"2024-06-14","2024-06-18","Wales","Savanta ComRes","NA","Labour","49"
"2024-06-07","2024-06-18","Great Britain","Savanta ComRes","Telegraph","Labour","44"
"2024-06-07","2024-06-18","United Kingdom","Savanta ComRes","Telegraph","Labour","44"
"2024-06-14","2024-06-18","Great Britain","Survation","Good Morning Britain","Labour","41"
"2024-06-11","2024-06-18","Great Britain","YouGov","Sky News","Labour","39"
"2024-06-14","2024-06-18","Scotland","Savanta ComRes","Scotsman","Labour","38"
"2024-06-17","2024-06-18","Great Britain","YouGov","NA","Labour","36"
"2024-06-18","2024-06-18","Great Britain","PeoplePolling","GB News","Labour","35"
"2024-06-14","2024-06-18","Scotland","YouGov","NA","Labour","34"
"2024-06-14","2024-06-18","Scotland","Savanta ComRes","Scotsman","SNP","33"
"2024-06-14","2024-06-18","Scotland","YouGov","NA","SNP","31"
"2024-06-18","2024-06-18","Great Britain","PeoplePolling","GB News","Reform UK","24"
"2024-06-07","2024-06-18","Great Britain","Savanta ComRes","Telegraph","Conservative","23"
"2024-06-07","2024-06-18","United Kingdom","Savanta ComRes","Telegraph","Conservative","23"
"2024-06-11","2024-06-18","Great Britain","YouGov","Sky News","Conservative","22"
"2024-06-14","2024-06-18","Great Britain","Survation","Good Morning Britain","Conservative","20"
"2024-06-17","2024-06-18","Great Britain","YouGov","NA","Conservative","20"
"2024-06-14","2024-06-18","Wales","Savanta ComRes","NA","Conservative","19"
"2024-06-17","2024-06-18","Great Britain","YouGov","NA","Reform UK","18"
"2024-06-11","2024-06-18","Great Britain","YouGov","Sky News","Reform UK","15"
"2024-06-14","2024-06-18","Scotland","Savanta ComRes","Scotsman","Conservative","15"
"2024-06-14","2024-06-18","Great Britain","Survation","Good Morning Britain","Reform UK","15"
"2024-06-18","2024-06-18","Great Britain","PeoplePolling","GB News","Conservative","15"
"2024-06-17","2024-06-18","Great Britain","YouGov","NA","Liberal Democrats","14"
"2024-06-07","2024-06-18","Great Britain","Savanta ComRes","Telegraph","Reform UK","13"
"2024-06-07","2024-06-18","United Kingdom","Savanta ComRes","Telegraph","Reform UK","13"
"2024-06-07","2024-06-18","Great Britain","Savanta ComRes","Telegraph","Liberal Democrats","12"
"2024-06-07","2024-06-18","United Kingdom","Savanta ComRes","Telegraph","Liberal Democrats","12"
"2024-06-11","2024-06-18","Great Britain","YouGov","Sky News","Liberal Democrats","12"
"2024-06-14","2024-06-18","Wales","Savanta ComRes","NA","Plaid Cymru","12"
"2024-06-14","2024-06-18","Wales","Savanta ComRes","NA","Reform UK","12"
"2024-06-14","2024-06-18","Great Britain","Survation","Good Morning Britain","Liberal Democrats","12"
"2024-06-18","2024-06-18","Great Britain","PeoplePolling","GB News","Liberal Democrats","12"
"2024-06-14","2024-06-18","Scotland","YouGov","NA","Conservative","11"
"2024-06-14","2024-06-18","Scotland","YouGov","NA","Reform UK","11"
"2024-06-18","2024-06-18","Great Britain","PeoplePolling","GB News","Green Party","8"
"2024-06-11","2024-06-18","Great Britain","YouGov","Sky News","Green Party","7"
"2024-06-14","2024-06-18","Scotland","Savanta ComRes","Scotsman","Liberal Democrats","7"
"2024-06-14","2024-06-18","Scotland","YouGov","NA","Liberal Democrats","7"
"2024-06-17","2024-06-18","Great Britain","YouGov","NA","Green Party","7"
"2024-06-14","2024-06-18","Great Britain","Survation","Good Morning Britain","Green Party","6"
"2024-06-14","2024-06-18","Scotland","YouGov","NA","Green Party","6"
"2024-06-14","2024-06-18","Wales","Savanta ComRes","NA","Liberal Democrats","5"
"2024-06-07","2024-06-18","Great Britain","Savanta ComRes","Telegraph","Green Party","4"
"2024-06-07","2024-06-18","United Kingdom","Savanta ComRes","Telegraph","Green Party","4"
"2024-06-07","2024-06-18","Great Britain","Savanta ComRes","Telegraph","SNP","3"
"2024-06-07","2024-06-18","United Kingdom","Savanta ComRes","Telegraph","SNP","3"
"2024-06-11","2024-06-18","Great Britain","YouGov","Sky News","SNP","3"
"2024-06-14","2024-06-18","Wales","Savanta ComRes","NA","Green Party","3"
"2024-06-17","2024-06-18","Great Britain","YouGov","NA","SNP","3"
"2024-06-18","2024-06-18","Great Britain","PeoplePolling","GB News","SNP","3"
"2024-06-14","2024-06-18","Great Britain","Survation","Good Morning Britain","SNP","2"
"2024-06-07","2024-06-18","Great Britain","Savanta ComRes","Telegraph","Plaid Cymru","1"
"2024-06-07","2024-06-18","United Kingdom","Savanta ComRes","Telegraph","Plaid Cymru","1"
"2024-06-11","2024-06-18","Great Britain","YouGov","Sky News","Plaid Cymru","1"
"2024-06-17","2024-06-18","Great Britain","YouGov","NA","Plaid Cymru","1"
"2024-06-18","2024-06-18","Great Britain","PeoplePolling","GB News","Plaid Cymru","0"
"2024-06-14","2024-06-17","Great Britain","Deltapoll","NA","Labour","46"
"2024-05-22","2024-06-17","Great Britain","More in Common","News Agents","Labour","44"
"2024-06-13","2024-06-17","Great Britain","Lord Ashcroft","NA","Labour","43"
"2024-06-14","2024-06-17","Great Britain","Focaldata","NA","Labour","43"
"2024-06-14","2024-06-17","Great Britain","Redfield &amp; Wilton","NA","Labour","43"
"2024-06-14","2024-06-17","Great Britain","Verian","NA","Labour","39"
"2024-05-22","2024-06-17","Great Britain","More in Common","News Agents","Conservative","28"
"2024-06-14","2024-06-17","Great Britain","Focaldata","NA","Conservative","21"
"2024-06-14","2024-06-17","Great Britain","Verian","NA","Conservative","21"
"2024-06-14","2024-06-17","Great Britain","Deltapoll","NA","Conservative","19"
"2024-06-13","2024-06-17","Great Britain","Lord Ashcroft","NA","Conservative","18"
"2024-06-13","2024-06-17","Great Britain","Lord Ashcroft","NA","Reform UK","18"
"2024-06-14","2024-06-17","Great Britain","Redfield &amp; Wilton","NA","Conservative","18"
"2024-06-14","2024-06-17","Great Britain","Redfield &amp; Wilton","NA","Reform UK","18"
"2024-06-14","2024-06-17","Great Britain","Deltapoll","NA","Reform UK","16"
